#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-9.	-229.1752039956731	-218.59244544782902	-230.61265767600207	-220.15962576138972
-8.987	-228.80624740978726	-218.39301879275527	-230.24370109011625	-219.8036691755037
-8.974	-228.43729082390138	-217.99684503240942	-229.87474450423036	-219.44771258961788
-8.961	-228.06833423801555	-217.6408884465236	-229.5057879183446	-219.09175600373206
-8.948	-227.69937765212973	-217.28493186063778	-229.1368313324587	-218.7357994178462
-8.935	-227.3304210662439	-216.92897527475193	-228.7678747465729	-218.37984283196033
-8.922	-226.96146448035805	-216.57301868886609	-228.398918160687	-218.02388624607454
-8.909	-226.5925078944722	-216.21706210298024	-228.02996157480123	-217.66792966018866
-8.896	-226.22355130858634	-215.8611055170944	-227.66100498891535	-217.31197307430287
-8.883	-225.85459472270045	-215.50514893120857	-227.2920484030295	-216.956016488417
-8.87	-225.48563813681469	-215.14919234532275	-226.92309181714373	-216.60005990253117
-8.857	-225.1166815509288	-214.79323575943687	-226.55413523125785	-216.24410331664532
-8.844	-224.74772496504298	-214.43727917355108	-226.18517864537208	-215.88814673075953
-8.831	-224.37876837915715	-214.08132258766517	-225.81622205948625	-215.5321901448737
-8.818	-224.00981179327127	-213.72536600177932	-225.4472654736003	-215.1762335589878
-8.805	-223.6408552073855	-213.36940941589353	-225.07830888771454	-214.82027697310198
-8.792	-223.27189862149962	-213.01345283000762	-224.7093523018286	-214.4643203872161
-8.779	-222.90294203561373	-212.6574962441218	-224.3403957159428	-214.10836380133028
-8.766	-222.5339854497279	-212.30153965823595	-223.97143913005695	-213.7524072154444
-8.753	-222.16502886384205	-211.94558307235013	-223.6024825441711	-213.39645062955856
-8.74	-221.79607227795623	-211.5896264864643	-223.23352595828524	-213.04049404367274
-8.727	-221.4271156920704	-211.23366990057843	-222.86456937239944	-212.68453745778692
-8.714	-221.05815910618455	-210.8777133146926	-222.49561278651356	-212.32858087190104
-8.701	-220.68920252029872	-210.52175672880676	-222.12665620062774	-211.9726242860152
-8.688	-220.3202459344129	-210.16580014292094	-221.75769961474188	-211.61666770012937
-8.675	-219.95128934852704	-209.8098435570351	-221.38874302885606	-211.26071111424355
-8.662	-219.5823327626412	-209.45388697114922	-221.01978644297023	-210.90475452835773
-8.649	-219.21337617675533	-209.0979303852634	-220.6508298570844	-210.54879794247188
-8.636	-218.8444195908695	-208.7419737993776	-220.28187327119858	-210.19284135658603
-8.623	-218.47546300498368	-208.3860172134917	-219.91291668531272	-209.83688477070024
-8.61	-218.1065064190978	-208.03006062760585	-219.5439600994268	-209.48092818481427
-8.597	-217.737549833212	-207.67410404172006	-219.17500351354101	-209.1249715989285
-8.584	-217.36859324732612	-207.3181474558342	-218.80604692765516	-208.76901501304263
-8.571	-216.99963666144032	-206.96219086994836	-218.43709034176936	-208.4130584271568
-8.558	-216.63068007555444	-206.60623428406245	-218.06813375588345	-208.05710184127096
-8.545	-216.2617234896686	-206.2502776981767	-217.69917716999763	-207.7011452553851
-8.532	-215.89276690378279	-205.8943211122908	-217.33022058411183	-207.3451886694993
-8.519	-215.5238103178969	-205.53836452640496	-216.96126399822597	-206.98923208361344
-8.506	-215.15485373201108	-205.18240794051914	-216.59230741234012	-206.63327549772757
-8.493	-214.78589714612522	-204.82645135463332	-216.22335082645424	-206.27731891184172
-8.48	-214.4169405602394	-204.47049476874747	-215.8543942405684	-205.9213623259559
-8.467	-214.04798397435357	-204.11453818286162	-215.48543765468256	-205.56540574007008
-8.454	-213.67902738846772	-203.75858159697574	-215.11648106879673	-205.2094491541842
-8.441	-213.31007080258183	-203.40262501108992	-214.74752448291085	-204.85349256829835
-8.428	-212.94111421669604	-203.04666842520413	-214.37856789702508	-204.49753598241256
-8.415	-212.5721576308102	-202.69071183931825	-214.00961131113925	-204.14157939652674
-8.402	-212.20320104492436	-202.3347552534324	-213.64065472525343	-203.78562281064094
-8.389	-211.83424445903853	-201.97879866754653	-213.27169813936754	-203.42966622475498
-8.376	-211.46528787315265	-201.6228420816607	-212.9027415534817	-203.07370963886916
-8.363	-211.09633128726685	-201.2668854957749	-212.53378496759586	-202.71775305298334
-8.35	-210.72737470138094	-200.910928909889	-212.16482838170998	-202.36179646709746
-8.337	-210.3584181154951	-200.55497232400322	-211.79587179582413	-202.00583988121159
-8.324	-209.98946152960931	-200.19901573811734	-211.42691520993836	-201.64988329532582
-8.311	-209.62050494372343	-199.84305915223152	-211.05795862405247	-201.29392670943994
-8.298	-209.25154835783766	-199.48710256634567	-210.68900203816668	-200.93797012355412
-8.285	-208.88259177195175	-199.1311459804598	-210.32004545228077	-200.58201353766822
-8.272	-208.51363518606593	-198.77518939457397	-209.95108886639488	-200.22605695178243
-8.259	-208.14467860018007	-198.41923280868812	-209.5821322805091	-199.87010036589658
-8.246	-207.77572201429425	-198.0632762228023	-209.21317569462323	-199.51414378001076
-8.233	-207.4067654284084	-197.70731963691648	-208.84421910873743	-199.1581871941249
-8.22	-207.03780884252257	-197.3513630510306	-208.47526252285158	-198.802230608239
-8.207	-206.66885225663668	-196.99540646514475	-208.1063059369657	-198.4462740223532
-8.194	-206.29989567075086	-196.63944987925893	-207.7373493510799	-198.09031743646742
-8.181	-205.93093908486503	-196.28349329337306	-207.3683927651941	-197.7343608505816
-8.168	-205.56198249897915	-195.92753670748723	-206.9994361793082	-197.37840426469566
-8.155	-205.19302591309338	-195.57158012160141	-206.6304795934224	-197.02244767880987
-8.142	-204.8240693272075	-195.21562353571554	-206.2615230075365	-196.666491092924
-8.129	-204.45511274132164	-194.85966694982972	-205.89256642165068	-196.31053450703814
-8.116	-204.08615615543584	-194.50371036394387	-205.5236098357649	-195.95457792115238
-8.103	-203.71719956954996	-194.14775377805802	-205.154653249879	-195.59862133526647
-8.09	-203.34824298366414	-193.79179719217223	-204.7856966639932	-195.24266474938065
-8.077	-202.97928639777828	-193.43584060628632	-204.4167400781073	-194.88670816349477
-8.064	-202.61032981189243	-193.07988402040047	-204.04778349222144	-194.53075157760895
-8.051	-202.24137322600657	-192.72392743451465	-203.67882690633562	-194.17479499172308
-8.038	-201.87241664012075	-192.36797084862883	-203.30987032044976	-193.81883840583728
-8.025	-201.50346005423492	-192.01201426274298	-202.94091373456396	-193.46288181995143
-8.012	-201.1345034683491	-191.65605767685716	-202.57195714867808	-193.10692523406559
-7.999	-200.76554688246327	-191.30010109097128	-202.2030005627923	-192.75096864817985
-7.986	-200.3965902965774	-190.94414450508543	-201.83404397690643	-192.3950120622939
-7.973	-200.02763371069156	-190.5881879191996	-201.4650873910206	-192.03905547640807
-7.96	-199.6586771248057	-190.23223133331373	-201.09613080513475	-191.68309889052216
-7.947	-199.28972053891985	-189.8762747474279	-200.7271742192489	-191.3271423046364
-7.934	-198.92076395303403	-189.52031816154206	-200.3582176333631	-190.97118571875055
-7.921	-198.55180736714817	-189.16436157565624	-199.98926104747719	-190.61522913286467
-7.908	-198.18285078126237	-188.80840498977042	-199.6203044615914	-190.2592725469789
-7.895	-197.81389419537652	-188.45244840388455	-199.25134787570556	-189.90331596109303
-7.882	-197.44493760949064	-188.09649181799867	-198.8823912898197	-189.54735937520718
-7.869	-197.07598102360478	-187.74053523211285	-198.51343470393385	-189.1914027893213
